BirdID,Sex,birth_year,lifespan,mum,dad,MumAge,n_off,unix_fys,SmallFROH,MediumFROH,LargeFROH,Coverage,F10,F20,F50,F100,F200,F500,RegFROH,Fped,CovMum,mumLargeFroh,mumSmallFroh,mumMediumFroh,mumFped,mumF10,mumF50,mumRegFROH,CovDad,dadLargeFroh,dadSmallFroh,dadMediumFroh,dadFped,dadF10,dadF50,dadRegFROH,event,first_catch,BrMID,BrMSmallFroh,BrMMediumFroh,BrMLargeFroh,BrMFped,CovBrM,BrMF10,BrMF50,BrMRegFroh,EPP,year_cv,mean_total_rain,mean_breeding_rain,mean_rain_cv,birth_total_rain,birth_breeding_rain,BirthRainCV,natal_group_size,h_count,sib_pres
6138,0,2013,5,5589,5559,3,2,0,0.023333655,0.228579004,0.135505612,0.314869,0.080176092,0.166661102,0.166876923,0.166878602,0.166878602,0.635991275,0.364084616,0.0078125,2.2336,0.185683192,0.023737671,0.215641403,0,0.170141316,0.185605181,0.401324595,7.64159,0.041111509,0.045440674,0.180152333,0,0.010047583,0.046540674,0.221263842,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2109.781818,295.6636364,1.407616446,2368.8,118.9,1.252214993,3,0,0
6139,0,2014,5,5766,4890,3,5,0,0.023236686,0.197112556,0.179644091,4.08547,0.049318092,0.187165284,0.192418794,0.192419702,0.192419702,0.632507939,0.376756647,0,5.60598,0.216086853,0.022141766,0.172327635,0,0.157775207,0.21786652,0.388414488,6.10599,0.277786329,0.019444242,0.179810979,0.015625,0.281398494,0.292241781,0.457597308,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2115.825,308.3583333,1.46127769,2368.8,118.9,1.252214993,4,0,0
6141,0,2014,1,1826,5780,11,0,0,0.023692988,0.187644577,0.255525375,0.264076,0.237149328,0.265746091,0.267689774,0.267691646,0.267691646,0.678682205,0.443169952,0,8.01311,0.241162724,0.022040634,0.169420172,0,0.166959221,0.242206848,0.410582896,0.3901,0.266170658,0.023687676,0.186655605,0,0.298889343,0.303301281,0.452826263,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,4,0,0
6142,1,2014,1,5604,1607,4,0,0,0.017067585,0.156178734,0.312466867,7.17771,0.327152476,0.339750044,0.341709109,0.34171178,0.34171178,0.702024639,0.468645601,0.0625,6.00577,0.238467035,0.019313809,0.187219211,0,0.169971913,0.23979803,0.425686246,7.18278,0.279538725,0.026129672,0.181454014,0,0.177526701,0.295818519,0.460992739,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,4,1,0
6143,0,2014,6,5657,5775,3,3,0,0.015579813,0.190916589,0.228534058,6.89417,0.208692077,0.231934812,0.232078514,0.232079371,0.232079371,0.652445223,0.419450647,0,5.20987,0.050399621,0.042696738,0.28918487,0.0078125,0.001166958,0.122452457,0.339584491,5.47267,0.143273684,0.02075585,0.200577745,0,0.002613876,0.150914246,0.343851429,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2068.221429,294.4642857,1.49983101,2368.8,118.9,1.252214993,2,0,0
6144,1,2014,9,5465,5513,5,3,0,0.022886288,0.212323057,0.172675578,5.34245,0.160889327,0.205769959,0.207837101,0.207862557,0.207862557,0.639960371,0.384998635,0,0.945067,0.235216832,0.016808386,0.204983543,0,0.216498664,0.281198527,0.440200375,7.37196,0.153868194,0.027457762,0.221646069,0,0.096959423,0.161044151,0.375514263,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,1951.038889,281.4166667,1.455676484,2368.8,118.9,1.252214993,3,0,0
6145,0,2014,6,5514,6019,5,2,0,0.02026019,0.231322146,0.189932789,1.59763,0.186544892,0.20965225,0.211687293,0.211695498,0.211695498,0.653267862,0.421254935,0,4.54495,0.163999246,0.022326323,0.216269208,0,0.15147046,0.167676408,0.380268454,1.92523,0.214711239,0.020978327,0.198499622,0,0.057372731,0.216973205,0.413210861,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2068.221429,294.4642857,1.49983101,2368.8,118.9,1.252214993,3,0,1
6147,0,2014,1,1707,5822,13,0,0,0.027747645,0.216440391,0.185217275,3.03098,0.114913344,0.19276994,0.198017656,0.198021265,0.198021265,0.64789551,0.401657666,0,2.50548,0.19262609,0.025645266,0.213763417,0,0.105564023,0.227738322,0.406389507,1.5071,0.205772666,0.01722462,0.233476334,0.015625,0.135451424,0.250249527,0.439249,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,3,0,0
6148,0,2014,1,5575,6018,4,0,0,0.019793539,0.174403493,0.279569032,7.67464,0.253524526,0.28460936,0.286559825,0.286565172,0.286565172,0.670188529,0.453972525,0.001220703,7.08825,0.17747498,0.016789433,0.237896484,0,0.153442717,0.219980783,0.415371464,8.80105,0.22441146,0.021039208,0.170194927,0,0.122118439,0.233596159,0.394606387,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,3,0,0
6149,1,2014,1,1852,4890,11,0,0,0.016358917,0.205811007,0.295971357,1.83447,0.315739737,0.319751385,0.320316179,0.320317854,0.320317854,0.717074496,0.501782364,0,1.0541,0.274513552,0.015931273,0.165186253,0,0.271530737,0.283344896,0.439699805,6.10599,0.277786329,0.019444242,0.179810979,0.015625,0.281398494,0.292241781,0.457597308,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,3,0,0
6150,0,2014,1,6028,3456,2,0,0,0.026516276,0.188172759,0.180784705,1.59921,0.047728952,0.198138926,0.198601041,0.198602667,0.198602667,0.629649564,0.368957464,0,0.638715,0.213928888,0.015590336,0.21287407,0,0.150808547,0.228541676,0.426802958,5.07872,0.248553984,0.022232694,0.173388273,0,0.188512983,0.253384419,0.421942257,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.252214993,2526.933333,498.1666667,1.409656204,2368.8,118.9,1.252214993,2,0,0
